BX 000 Event : 1
00|1101000|11001001|10000001010110000|0001 0x0D19302B01
00|1101000|11001001|10000001011010000|1001 0x0D19302D09
00|1101000|11001001|10000001101101101|1100 0x0D193036DC
00|1100011|11010011|10000100000001000|0111 0x0C7A708087
00|1100011|11010011|10000011000101111|0101 0x0C7A7062F5
00|1100111|11011000|10000100000010000|0010 0x0CFB108102
00|1100111|11011110|10000100000100101|0001 0x0CFBD08251
00|1100011|11100011|10000100010011100|0101 0x0C7C7089C5
00|1100111|11101110|10000100011100010|0100 0x0CFDD08E24
00|1100111|11110011|10000100011011000|0100 0x0CFE708D84
00|1100011|11111000|11010011110101111|1101 0x0C7F1A7AFD
BX 011 Event : 4
01|0000001|0001110|10000110100111|1010|0001 0x1023A1A7A1
01|0000001|0100100|10110000101110|0000|0000 0x10292C2E00
01|0000001|0001110|11001001000010|1101|1000 0x1023B242D8
01|0000000|0001110|11001011100011|1110|1000 0x1003B2E3E8
01|0000001|0001110|11111101001110|1001|0001 0x1023BF4E91
01|0000010|1011100|10101000110101|0001|0010 0x10572A3512
01|0000011|1011100|11101000101110|0110|1010 0x10773A2E6A
01|0000011|1011100|11011010011111|1111|1000 0x1077369FF8
01|0000010|1011100|11011101000001|0000|1000 0x1057374108
01|0000010|1011100|11011000010001|1110|1001 0x10573611E9
01|0000100|0100100|10011111001001|1011|1000 0x108927C9B8
01|0000100|0100100|11011100001101|0001|1001 0x1089370D19
01|0000111|1110010|11000000001010|0000|1000 0x10FCB00A08
01|0000111|1110010|11000101000001|0010|0000 0x10FCB14120
01|0000111|1110010|11101110101111|0001|1000 0x10FCBBAF18
00|1100011|10111111|10001111100000110|0011 0x0C77F1F063
00|1100011|10111111|10001111011010110|1000 0x0C77F1ED68
00|1100011|10111111|10001111010010010|0110 0x0C77F1E926
00|1100011|10111111|10001111000101110|1010 0x0C77F1E2EA
00|1100111|11001001|10001110101000000|0100 0x0CF931D404
00|1100111|10101110|11011000000010111|1100 0x0CF5DB017C
00|1100010|10111111|11011001111111000|0101 0x0C57FB3F85
BX 100 Event : 5
01|0000000|0001110|10001010011100|1100|0010 0x1003A29CC2
01|0000001|0100100|10101111100110|1111|0000 0x10292BE6F0
01|0000001|0100100|10111010010110|0011|1001 0x10292E9639
01|0000001|0001110|11000111010110|1100|1000 0x1023B1D6C8
01|0000010|1110010|10010011001000|0101|0011 0x105CA4C853
01|0000011|1011100|10110000011000|0110|1010 0x10772C186A
01|0000011|1011100|10101000011101|0001|1010 0x10772A1D1A
01|0000010|1110010|11001001101101|0100|1010 0x105CB26D4A
01|0000010|1110010|11001101101111|0110|0010 0x105CB36F62
01|0000010|1110010|11001110110001|0111|1010 0x105CB3B17A
01|0000100|0100100|11010101100010|1110|1011 0x10893562EB
01|0000111|1110010|10010111011011|0001|0010 0x10FCA5DB12
01|0000111|1110010|10011010010100|0011|0001 0x10FCA69431
01|0000111|1011100|10101011110110|0000|0011 0x10F72AF603
