BX = 000 Event : 1
0x00 0101011|0101001 0x15A9
BX = 110 Event : 95
0x00 0000110|0011100 0x031C
0x01 0001000|0011100 0x041C
0x02 0011001|1001000 0x0CC8
BX = 111 Event : 96
0x00 0001111|0011011 0x079B
0x01 0001111|0011101 0x079D
0x02 0010011|0011011 0x099B
0x03 0010011|0011101 0x099D
0x04 0010100|0011101 0x0A1D
0x05 0011100|0100000 0x0E20
0x06 0111010|0111100 0x1D3C
BX = 000 Event : 97
BX = 001 Event : 98
BX = 010 Event : 99
BX = 011 Event : 100
0x00 0011110|0111100 0x0F3C
0x01 0100011|1000010 0x11C2
0x02 0100100|0111111 0x123F
0x03 0100100|1000010 0x1242
0x04 0100111|0101000 0x13A8
0x05 0100111|0101010 0x13AA
0x06 0101100|0110101 0x1635
