BX = 000 Event : 1
0x04 0011000|0100001 0x0C21
BX = 110 Event : 95
0x00 0011011|0000010 0x0D82
0x01 0011011|0000101 0x0D85
BX = 111 Event : 96
0x00 0000100|0010100 0x0214
0x01 0000110|0010100 0x0314
0x02 0000111|0010100 0x0394
0x03 0001101|0100111 0x06A7
0x04 0011111|0001001 0x0F89
0x05 0100001|0001001 0x1089
0x06 0100010|0001001 0x1109
0x07 0100010|0001010 0x110A
0x08 0100010|0001011 0x110B
0x09 0100110|0110010 0x1332
BX = 000 Event : 97
0x00 0000000|0010001 0x0011
0x01 0010101|0101100 0x0AAC
0x02 0100011|0000011 0x1183
0x03 0100011|0000101 0x1185
0x04 0100100|0000010 0x1202
0x05 0100100|0000011 0x1203
0x06 0100100|0000101 0x1205
0x07 0110110|0111010 0x1B3A
0x08 0110111|0111010 0x1BBA
BX = 001 Event : 98
0x00 0000101|0100111 0x02A7
0x01 0000101|0101000 0x02A8
0x02 0010001|0000000 0x0880
0x03 0010010|0000000 0x0900
0x04 0011001|0110100 0x0CB4
BX = 010 Event : 99
0x00 0000001|0010010 0x0092
0x01 0000001|0010111 0x0097
0x02 0000001|0011010 0x009A
0x03 0101000|0111000 0x1438
0x04 0101000|0111001 0x1439
0x05 0101001|0111000 0x14B8
0x06 0101101|1000001 0x16C1
BX = 011 Event : 100
0x00 0001111|0000010 0x0782
0x01 0001111|0000101 0x0785
0x02 0010000|0000010 0x0802
0x03 0010000|0000101 0x0805
0x04 0010011|0000101 0x0985
0x05 0010110|0000101 0x0B05
