BX = 000 Event : 1
0x00 0000111|0111000 0x03B8
0x01 0001000|0001001 0x0409
0x02 0001000|0001011 0x040B
0x03 0001000|0001100 0x040C
0x04 0001000|0001101 0x040D
0x05 0001000|0010001 0x0411
0x06 0001011|0001010 0x058A
0x07 0001011|0001101 0x058D
0x08 0001011|0010001 0x0591
0x09 0001110|0111001 0x0739
BX = 011 Event : 68
0x00 0101110|0000100 0x1704
0x01 0101110|0000101 0x1705
0x02 0101110|0000110 0x1706
0x03 0101111|0000100 0x1784
0x04 0101111|0000101 0x1785
0x05 0101111|0000110 0x1786
0x06 0101111|0001011 0x178B
0x07 0101111|0001101 0x178D
0x08 0101111|0001110 0x178E
0x09 0111000|0000010 0x1C02
0x0a 0111000|0000100 0x1C04
0x0b 0111000|0000101 0x1C05
0x0c 0111000|0000110 0x1C06
0x0d 0111000|0001000 0x1C08
0x0e 0111000|0001011 0x1C0B
0x0f 0111000|0001101 0x1C0D
0x10 1000100|0000010 0x2202
0x11 1000100|0000100 0x2204
0x12 1000100|0000101 0x2205
0x13 1000100|0000110 0x2206
0x14 1000100|0000111 0x2207
0x15 1000100|0001000 0x2208
0x16 1000100|0001011 0x220B
0x17 1000100|0001101 0x220D
0x18 1000101|0000010 0x2282
0x19 1000101|0000100 0x2284
0x1a 1000101|0000101 0x2285
0x1b 1000101|0000110 0x2286
0x1c 1000101|0000111 0x2287
0x1d 1000101|0001000 0x2288
0x1e 1000101|0001011 0x228B
0x1f 1000101|0001101 0x228D
0x20 1000110|0000010 0x2302
0x21 1000110|0000100 0x2304
0x22 1000110|0000101 0x2305
0x23 1000111|0000010 0x2382
0x24 1000111|0000100 0x2384
0x25 1000111|0000101 0x2385
0x26 1001110|0000001 0x2701
0x27 1001110|0000010 0x2702
0x28 1001110|0000111 0x2707
0x29 1001110|0001000 0x2708
0x2a 1001111|0000001 0x2781
0x2b 1001111|0000010 0x2782
0x2c 1001111|0000111 0x2787
0x2d 1001111|0001000 0x2788
BX = 100 Event : 69
BX = 101 Event : 70
0x00 0001011|0010111 0x0597
0x01 0001111|0010111 0x0797
BX = 110 Event : 71
0x00 0011111|0000001 0x0F81
0x01 0100000|0000001 0x1001
BX = 111 Event : 72
