BX = 000 Event : 1
0x05 0101110|0010000 0x1710
BX = 011 Event : 44
0x00 1000010|0010000 0x2110
BX = 100 Event : 45
0x00 0011111|0001000 0x0F88
0x01 0100000|0001000 0x1008
0x02 0100001|0001000 0x1088
0x03 0100010|0001000 0x1108
BX = 101 Event : 46
0x00 1010011|0100110 0x29A6
0x01 1010100|0100110 0x2A26
0x02 1011100|0001111 0x2E0F
0x03 1011100|0010010 0x2E12
BX = 110 Event : 47
0x00 1010010|1000100 0x2944
0x01 1010100|0000001 0x2A01
0x02 1010100|0000010 0x2A02
BX = 111 Event : 48
0x00 0110100|0000011 0x1A03
0x01 0110100|0000100 0x1A04
0x02 0110100|0000101 0x1A05
BX = 000 Event : 49
0x00 0011100|0111000 0x0E38
0x01 0011100|0111001 0x0E39
0x02 0100010|0000101 0x1105
0x03 0100010|0001001 0x1109
BX = 001 Event : 50
0x00 1000000|0000001 0x2001
0x01 1000000|0000011 0x2003
0x02 1000101|0000011 0x2283
0x03 1000110|0000011 0x2303
0x04 1001001|0000011 0x2483
0x05 1001011|0000011 0x2583
0x06 1001100|0000011 0x2603
BX = 010 Event : 51
0x00 0100010|0000010 0x1102
0x01 0100011|0000010 0x1182
0x02 0101010|0010111 0x1517
BX = 011 Event : 52
0x00 0011001|0001010 0x0C8A
0x01 0100011|0001010 0x118A
0x02 0100011|0001100 0x118C
0x03 0100110|0010010 0x1312
0x04 0101001|0001100 0x148C
0x05 0110000|0001100 0x180C
0x06 0110000|0010001 0x1811
0x07 0110001|0001100 0x188C
0x08 0110001|0010001 0x1891
BX = 100 Event : 53
0x00 0110001|0011100 0x189C
0x01 0110011|0001011 0x198B
0x02 0110100|0001011 0x1A0B
0x03 0111000|0001011 0x1C0B
BX = 101 Event : 54
0x00 0100011|0110000 0x11B0
0x01 0100011|0110011 0x11B3
0x02 0100100|0110000 0x1230
0x03 0100100|0110011 0x1233
0x04 0100101|0110000 0x12B0
0x05 0100101|0110011 0x12B3
0x06 0100110|0110000 0x1330
0x07 0100110|0110011 0x1333
0x08 0101110|0101110 0x172E
0x09 0101110|0110100 0x1734
BX = 110 Event : 55
0x00 0101101|0110100 0x16B4
BX = 111 Event : 56
0x00 0110110|0000100 0x1B04
0x01 0110110|0000110 0x1B06
0x02 0110110|0000111 0x1B07
0x03 0110110|0001000 0x1B08
0x04 0110110|0001011 0x1B0B
0x05 0110110|0001110 0x1B0E
0x06 0110110|0010000 0x1B10
0x07 1001011|1000100 0x25C4
0x08 1001011|0000100 0x2584
0x09 1001011|0000110 0x2586
0x0a 1001011|0000111 0x2587
0x0b 1001011|0001000 0x2588
0x0c 1001011|0001011 0x258B
0x0d 1001011|0001110 0x258E
0x0e 1001011|0010000 0x2590
BX = 000 Event : 57
BX = 001 Event : 58
0x00 0010111|0001110 0x0B8E
0x01 0011001|0001110 0x0C8E
0x02 0011100|0001110 0x0E0E
0x03 0100100|0001110 0x120E
0x04 0101010|0001110 0x150E
0x05 1000100|0001110 0x220E
BX = 010 Event : 59
0x00 0111111|0001100 0x1F8C
0x01 0111111|0001101 0x1F8D
0x02 0111111|0010000 0x1F90
0x03 0111111|0010001 0x1F91
0x04 0111111|0010010 0x1F92
0x05 0111111|0010100 0x1F94
0x06 1000110|0001011 0x230B
0x07 1000110|0001100 0x230C
0x08 1000110|0001101 0x230D
0x09 1000110|0010000 0x2310
0x0a 1000110|0010001 0x2311
0x0b 1000110|0010010 0x2312
0x0c 1000110|0010100 0x2314
0x0d 1000111|0001011 0x238B
0x0e 1000111|0001100 0x238C
0x0f 1000111|0001101 0x238D
0x10 1000111|0010000 0x2390
0x11 1000111|0010001 0x2391
0x12 1000111|0010010 0x2392
0x13 1000111|0010100 0x2394
0x14 1001011|0011011 0x259B
0x15 1010110|0011011 0x2B1B
BX = 011 Event : 60
0x00 0001011|0101000 0x05A8
0x01 0010111|1001011 0x0BCB
BX = 100 Event : 61
0x00 0001110|0000101 0x0705
0x01 0010110|0000001 0x0B01
0x02 0011000|0000101 0x0C05
0x03 0100011|0000101 0x1185
0x04 0110010|0000101 0x1905
BX = 101 Event : 62
0x00 0100011|0001000 0x1188
0x01 0100100|0001000 0x1208
0x02 0100100|0010001 0x1211
0x03 0101011|0001000 0x1588
0x04 0101011|0010001 0x1591
0x05 0101101|0010001 0x1691
0x06 0110010|0001000 0x1908
0x07 0110010|0010001 0x1911
0x08 0110101|0010001 0x1A91
0x09 0110101|0010011 0x1A93
0x0a 0110110|0010001 0x1B11
0x0b 0110110|0010011 0x1B13
0x0c 0111001|0010001 0x1C91
0x0d 0111010|0010001 0x1D11
0x0e 0111010|0010011 0x1D13
0x0f 0111011|0010001 0x1D91
0x10 0111011|0010011 0x1D93
0x11 0111110|0010001 0x1F11
0x12 0111111|0010001 0x1F91
0x13 1000000|0010001 0x2011
0x14 1000001|0010001 0x2091
0x15 1000001|0010011 0x2093
0x16 1000100|0010001 0x2211
0x17 1000101|0010001 0x2291
0x18 1000110|0010001 0x2311
0x19 1000110|0010011 0x2313
0x1a 1000111|0010001 0x2391
0x1b 1000111|0010011 0x2393
0x1c 1001000|0001000 0x2408
0x1d 1001010|0001000 0x2508
0x1e 1001010|0010001 0x2511
0x1f 1001011|0010001 0x2591
0x20 1001101|0001000 0x2688
0x21 1001111|0001000 0x2788
0x22 1001111|0010001 0x2791
0x23 1010000|0001000 0x2808
0x24 1010000|0010001 0x2811
0x25 1010010|0001000 0x2908
0x26 1010100|0001000 0x2A08
0x27 1010100|0010001 0x2A11
0x28 1010101|0001000 0x2A88
0x29 1010101|0010001 0x2A91
BX = 110 Event : 63
0x00 0100001|0001001 0x1089
0x01 0100101|0101001 0x12A9
0x02 0100111|0010101 0x1395
BX = 111 Event : 64
0x00 0010000|0000100 0x0804
0x01 0010001|0000100 0x0884
0x02 0010010|0010010 0x0912
0x03 0010010|0010011 0x0913
BX = 000 Event : 65
0x00 0011111|0010111 0x0F97
0x01 0100100|0011111 0x121F
0x02 0100100|0100000 0x1220
0x03 0100101|0011111 0x129F
0x04 0100101|0100000 0x12A0
BX = 001 Event : 66
0x00 0111010|0001000 0x1D08
0x01 0111010|0001110 0x1D0E
0x02 0111010|0001111 0x1D0F
0x03 0111010|0010010 0x1D12
0x04 0111011|0001110 0x1D8E
0x05 0111011|0001111 0x1D8F
0x06 0111011|0010010 0x1D92
0x07 0111100|0001000 0x1E08
0x08 0111100|0001110 0x1E0E
0x09 0111100|0001111 0x1E0F
0x0a 0111101|0001110 0x1E8E
0x0b 0111101|0001111 0x1E8F
0x0c 0111110|0001000 0x1F08
0x0d 0111110|0001110 0x1F0E
0x0e 0111110|0001111 0x1F0F
0x0f 0111110|0010010 0x1F12
0x10 0111111|0001110 0x1F8E
0x11 0111111|0001111 0x1F8F
0x12 0111111|0010010 0x1F92
0x13 1110000|0001000 0x3808
0x14 1110000|0001110 0x380E
0x15 1110000|0001111 0x380F
0x16 1110000|0010010 0x3812
0x17 1110001|0001000 0x3888
0x18 1110001|0001110 0x388E
0x19 1110001|0001111 0x388F
0x1a 1110001|0010010 0x3892
0x1b 1110010|0001000 0x3908
0x1c 1110010|0001110 0x390E
0x1d 1110010|0001111 0x390F
0x1e 1110010|0010010 0x3912
0x1f 1110011|0001000 0x3988
0x20 1110011|0001110 0x398E
0x21 1110011|0001111 0x398F
0x22 1110011|0010010 0x3992
0x23 1110101|0001000 0x3A88
0x24 1110101|0001110 0x3A8E
0x25 1110101|0001111 0x3A8F
BX = 010 Event : 67
0x00 0010101|0000011 0x0A83
0x01 0010101|0000110 0x0A86
0x02 0010110|0000011 0x0B03
0x03 0010110|0000110 0x0B06
0x04 0010111|0000011 0x0B83
0x05 0010111|0000110 0x0B86
BX = 011 Event : 68
0x00 1001010|0100110 0x2526
0x01 1001010|0100111 0x2527
0x02 1010001|0100000 0x28A0
0x03 1010010|1001111 0x294F
0x04 1010010|1010000 0x2950
0x05 1010101|1001111 0x2ACF
0x06 1010101|1010000 0x2AD0
0x07 1010110|1001111 0x2B4F
0x08 1010110|1010000 0x2B50
BX = 100 Event : 69
0x00 0011001|0011110 0x0C9E
0x01 0011001|0100000 0x0CA0
0x02 0011011|0011110 0x0D9E
0x03 0011011|0100000 0x0DA0
BX = 101 Event : 70
BX = 110 Event : 71
0x00 0010101|0011110 0x0A9E
0x01 0010111|0100010 0x0BA2
0x02 0010111|0100011 0x0BA3
0x03 0011000|0100010 0x0C22
